candidate_id,title,cat,yoe,industry,country,n_ai,rel,services,resp,days_inactive,open,honeypot,cv_speech,auto_tier,final_tier,summary
CAND_0040853,Operations Manager,Non-tech,1.1,Software,India,0,0,False,0.52,193,False,True,False,0,0,"Professional with 1.1+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been cur"
CAND_0038431,Mobile Developer,SWE/Data,15.0,Fintech,India,2,0,False,0.72,17,False,True,False,0,0,"Software engineer with 7.9 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've spent most of my career on web and API develo"
CAND_0037539,Project Manager,Non-tech,4.9,Manufacturing,India,0,0,False,0.35,80,True,True,False,0,0,"Professional with 4.9+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been cur"
CAND_0065710,Marketing Manager,Non-tech,4.4,Software,India,0,0,False,0.06,117,False,True,False,0,0,"Professional with 4.4+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been cur"
CAND_0007413,Business Analyst,Non-tech,13.3,Manufacturing,India,0,0,False,0.25,41,False,True,False,0,0,"Professional with 10.8+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been cu"
CAND_0035104,Software Engineer,SWE/Data,5.5,IT Services,India,0,0,True,0.45,45,False,True,False,0,0,"Software engineer with 5.5 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and c"
CAND_0093364,Business Analyst,Non-tech,7.9,Manufacturing,India,0,0,False,0.06,134,True,True,False,0,0,"Professional with 7.9+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been cur"
CAND_0065787,Java Developer,SWE/Data,10.9,IT Services,India,2,0,True,0.23,80,True,True,False,0,0,"Software engineer with 2.7 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've spent most of my career on web and API develo"
CAND_0096150,Accountant,Non-tech,14.7,IT Services,India,0,0,True,0.26,135,False,True,False,0,0,"Professional with 2.1+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about"
CAND_0010294,.NET Developer,SWE/Data,8.0,IT Services,India,2,0,True,0.14,30,False,True,False,0,0,"Software engineer with 8.0 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone i"
