candidate_id,rank,score,reasoning
CAND_0000031,1,0.9376,"Recommendation Systems Engineer with 6.0y experience at Swiggy (Food Delivery); career history shows hands-on search / ranking / recommendation work; open to work, responds to 91% of recruiters, last active 8d ago."
CAND_0000014,2,0.3722,"Frontend Engineer with 8.4y experience at Zomato (Food Delivery); responds to 80% of recruiters, last active 50d ago."
CAND_0000007,3,0.2572,"Civil Engineer with 5.5y experience at Wipro (IT Services); responds to 62% of recruiters, last active 7d ago. Watch: services-firm background."
CAND_0000038,4,0.2319,"Java Developer with 6.7y experience at Swiggy (Food Delivery); open to work, responds to 20% of recruiters, last active 62d ago."
CAND_0000025,5,0.2273,"Frontend Engineer with 7.3y experience at Tech Mahindra (IT Services); open to work, responds to 74% of recruiters, last active 63d ago. Watch: services-firm background, 120d notice."
CAND_0000015,6,0.2103,"Software Engineer with 5.4y experience at Razorpay (Fintech); open to work, responds to 32% of recruiters, last active 109d ago."
CAND_0000048,7,0.1971,"Mobile Developer with 9.7y experience at CRED (Fintech); open to work, responds to 65% of recruiters, last active 56d ago. Watch: above the 5-9y band (9.7y), services-firm background, 120d notice."
CAND_0000011,8,0.1957,"QA Engineer with 2.0y experience at Pied Piper (Software); responds to 56% of recruiters, last active 133d ago. Watch: under the 5-9y band (2.0y), limited recent activity (133d)."
CAND_0000018,9,0.1934,"Frontend Engineer with 6.6y experience at Acme Corp (Manufacturing); responds to 16% of recruiters, last active 103d ago. Watch: 120d notice."
CAND_0000019,10,0.1873,"Project Manager with 6.5y experience at Wayne Enterprises (Conglomerate); responds to 34% of recruiters, last active 11d ago."
CAND_0000027,11,0.1848,"DevOps Engineer with 3.9y experience at Infosys (IT Services); open to work, responds to 58% of recruiters, last active 25d ago. Watch: under the 5-9y band (3.9y), services-firm background."
CAND_0000026,12,0.1844,"Graphic Designer with 6.8y experience at Initech (Software); responds to 59% of recruiters, last active 241d ago. Watch: limited recent activity (241d)."
CAND_0000010,13,0.1728,"Data Engineer with 4.6y experience at Ola (Transportation); responds to 40% of recruiters, last active 33d ago. Watch: under the 5-9y band (4.6y), based in UK (relocation/visa), 120d notice."
CAND_0000023,14,0.1724,"Software Engineer with 3.7y experience at Acme Corp (Manufacturing); responds to 57% of recruiters, last active 56d ago. Watch: under the 5-9y band (3.7y), based in USA (relocation/visa)."
